Food,CO2 footprint,Category,Energy (kcal),Energy (kJ),Carbohydrate (g),Fat (g),Protein (g),Fibre (g),Water (g),Alcohol (g),Ash (g),Monosaccharides (g),Disaccharides (g),Sucrose (g),Wholegrain total (g),Sugar total (g),Sum of saturated fatty acids (g),Fatty acids 4:0-10:0 (g),Fatty acid 12:0 (g),Fatty acid 14:0 (g),Fatty acid 16:0 (g),Fatty acid 18:0 (g),Fatty acid 20:0 (g),Sum of monounsaturated fatty acids (g),Fatty acid 16:1 (g),Fatty acid 18:1 (g),Sum of polyunsaturated fatty acids (g),Fatty acids 18:2 (g),Fatty acid 18:3 (g),Fatty acid 20:4 (g),EPA (Fatty acid 20:5) (g),DPA (Fatty acid 22:5) (g),DHA (Fatty acid 22:6) (g),Cholesterol (mg),Retinol (ug),Retinolequivalents (ug),Beta-carotene (ug),Vitamin D (ug),Vitamin E (mg),Vitamin K (ug),Thiamin (mg),Riboflavin (mg),Vitamin C (mg),Niacin (mg),Niacinequivalents (mg),Vitamin B-6 (mg),Vitamin B-12 (ug),Folate (ug),Phosphorus (mg),Iodide (ug),Iron (mg),Calcium (mg),Potassium (mg),Magnesium (mg),Sodium (mg),Salt (g),Selenium (ug),Zinc (mg),Waste (e.g. peel) (%)
radish,0.23,vegetables and mushrooms,15.3,64.1,2.2,0.1,0.6,1.6,95,0,0.5,1.6,0,0,0,0,0.03,0,0,0,0.02,0,0,0.01,0,0.01,0.04,0.01,0.03,0,0,0,0,0,0,1.2,15,0,0.1,0,0.02,0.04,33,0.2,0.3,0.06,0,27,36,1,0.8,41,280,10,21,0.05,0.1,0.5,5
black radish,0.23,vegetables and mushrooms,18.2,76,2.5,0.1,1,1.6,94,0,0.8,2,0.2,0.2,0,0,0.02,0,0,0,0.02,0,0,0.01,0,0.01,0.05,0.01,0.04,0,0,0,0,0,0,1.7,20,0,0,0,0.05,0.04,20,0.4,0.57,0.11,0,24,29,0,0.6,50,350,9,9,0.02,0.1,0.2,10
red chard,0.7,vegetables and mushrooms,15.9,66.7,0,0.5,2.13,1.5,94.4,0,1.49,0.2,0,0,0,0,0.06,0,0,0,0.05,0,0,0.03,0.01,0.02,0.31,0.05,0.22,0,0,0,0,0,0,175.3,2060.00,0,0.93,255,0.04,0.09,8.5,0.4,0.8,0.13,0,123,26,2,1.37,95,260,34,200,0.5,0,0.37,0
red cabbage,0.23,vegetables and mushrooms,31.4,131.3,4.7,0.3,1.13,2.64,90.5,0,0.7,4.3,0.7,0.7,0,0,0.06,0,0,0,0.05,0,0,0.02,0.01,0.01,0.17,0.11,0.05,0,0,0,0,0,0,0.2,2,0,0,18,0.06,0,58.9,0.39,0.6,0.17,0,45.9,25,1.4,0.28,33,260,11,8,0.02,0,0.16,20
salad bowl,0.23,vegetables and mushrooms,20.6,86,2.68,0.14,1.31,1.62,93.7,0,0.55,2.4,0.1,0.1,0,0,0.03,0,0,0,0.03,0,0,0.02,0,0.02,0.06,0.01,0.05,0,0,0,0,0,0,1.2,15,0,0.34,0,0.05,0.05,39,0.78,0.99,0.15,0,150,38,0.3,0.34,25.6,204,15,9,0.02,0.2,0.3,7
savoy cabbage,0.23,vegetables and mushrooms,28.4,118.9,3.6,0.1,2,2.5,91,0,0.8,3.1,0.1,0.1,0,0,0.01,0,0,0,0.01,0,0,0.01,0,0.01,0.05,0.02,0.03,0,0,0,0,0,0,50,600,0,0.6,0,0.07,0.03,31,0.3,0.63,0.19,0,79,42,0,0.4,35,230,28,28,0.07,3.8,0.5,20
cherry tomato,11.9,vegetables and mushrooms,25.2,105.4,4.4,0.13,0.81,1.5,92.5,0,0.64,4.1,0,0,0,0,0.02,0,0,0,0.02,0,0,0.02,0,0.01,0.06,0.06,0.01,0,0,0,0,0,0,80.4,965,0,0.95,6.1,0.05,0.03,33.7,0.87,1,0.14,0,25.7,37,0.2,0.44,11,320,14,3,0.01,0,0.13,0
asparagus,0.23,vegetables and mushrooms,27,112.9,2.4,0.2,3.1,1.5,92,0,0.8,1,0.2,0.2,0,0,0.05,0,0,0,0.04,0,0,0,0,0,0.11,0.1,0.01,0,0,0,0,0,0,26.7,320,0,1.98,0,0.11,0.12,33,1.1,1.62,0.15,0,119,52,4,0.7,22,300,18,2,0.01,0.2,0.9,47
spinach,0.7,vegetables and mushrooms,17.5,73.1,0.7,0.5,1.9,1.3,94,0,1.6,0.2,0.1,0.1,0,0,0.06,0,0,0,0.05,0,0,0.03,0.01,0.02,0.29,0.05,0.21,0,0,0,0,0,0,275,3300.00,0,2.9,0,0.1,0.28,46,0.9,1.22,0.2,0,194,30,1,2,93,560,79,6,0.02,0.5,0.9,5
squash,0.7,vegetables and mushrooms,14.5,60.6,2.5,0.1,0,1.8,95,0,0.58,2.9,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1,177,0,0.55,26.6,0.03,0.04,23.9,0.45,0.5,0.09,0,30.4,28.1,0,0.28,19.8,148,17.1,0,0,0,0.41,5
